file_path,genre
data/raw\hiphop\hiphop.00086.au,hiphop
data/raw\jazz\jazz.00021.au,jazz
data/raw\rock\rock.00062.au,rock
data/raw\classical\classical.00084.au,classical
data/raw\disco\disco.00024.au,disco
data/raw\blues\blues.00067.au,blues
data/raw\hiphop\hiphop.00049.au,hiphop
data/raw\pop\pop.00018.au,pop
data/raw\pop\pop.00059.au,pop
data/raw\hiphop\hiphop.00031.au,hiphop
data/raw\pop\pop.00009.au,pop
data/raw\metal\metal.00077.au,metal
data/raw\hiphop\hiphop.00045.au,hiphop
data/raw\disco\disco.00055.au,disco
data/raw\country\country.00099.au,country
data/raw\pop\pop.00037.au,pop
data/raw\blues\blues.00072.au,blues
data/raw\reggae\reggae.00034.au,reggae
data/raw\jazz\jazz.00076.au,jazz
data/raw\pop\pop.00030.au,pop
data/raw\blues\blues.00000.au,blues
data/raw\reggae\reggae.00012.au,reggae
data/raw\rock\rock.00033.au,rock
data/raw\blues\blues.00011.au,blues
data/raw\country\country.00093.au,country
data/raw\jazz\jazz.00002.au,jazz
data/raw\blues\blues.00064.au,blues
data/raw\pop\pop.00081.au,pop
data/raw\pop\pop.00089.au,pop
data/raw\classical\classical.00089.au,classical
data/raw\disco\disco.00069.au,disco
data/raw\reggae\reggae.00038.au,reggae
data/raw\disco\disco.00004.au,disco
data/raw\hiphop\hiphop.00058.au,hiphop
data/raw\blues\blues.00025.au,blues
data/raw\classical\classical.00062.au,classical
data/raw\disco\disco.00009.au,disco
data/raw\rock\rock.00014.au,rock
data/raw\classical\classical.00053.au,classical
data/raw\metal\metal.00039.au,metal
data/raw\disco\disco.00038.au,disco
data/raw\blues\blues.00085.au,blues
data/raw\classical\classical.00060.au,classical
data/raw\metal\metal.00032.au,metal
data/raw\reggae\reggae.00032.au,reggae
data/raw\metal\metal.00078.au,metal
data/raw\blues\blues.00078.au,blues
data/raw\metal\metal.00007.au,metal
data/raw\metal\metal.00028.au,metal
data/raw\reggae\reggae.00075.au,reggae
data/raw\country\country.00029.au,country
data/raw\blues\blues.00027.au,blues
data/raw\jazz\jazz.00081.au,jazz
data/raw\reggae\reggae.00009.au,reggae
data/raw\hiphop\hiphop.00098.au,hiphop
data/raw\blues\blues.00096.au,blues
data/raw\blues\blues.00089.au,blues
data/raw\disco\disco.00006.au,disco
data/raw\disco\disco.00089.au,disco
data/raw\classical\classical.00049.au,classical
data/raw\reggae\reggae.00035.au,reggae
data/raw\disco\disco.00088.au,disco
data/raw\blues\blues.00065.au,blues
data/raw\reggae\reggae.00062.au,reggae
data/raw\classical\classical.00050.au,classical
data/raw\country\country.00039.au,country
data/raw\pop\pop.00061.au,pop
data/raw\metal\metal.00008.au,metal
data/raw\jazz\jazz.00003.au,jazz
data/raw\disco\disco.00062.au,disco
data/raw\jazz\jazz.00075.au,jazz
data/raw\rock\rock.00036.au,rock
data/raw\hiphop\hiphop.00084.au,hiphop
data/raw\hiphop\hiphop.00072.au,hiphop
data/raw\disco\disco.00012.au,disco
data/raw\blues\blues.00046.au,blues
data/raw\classical\classical.00057.au,classical
data/raw\hiphop\hiphop.00048.au,hiphop
data/raw\jazz\jazz.00088.au,jazz
data/raw\hiphop\hiphop.00096.au,hiphop
data/raw\disco\disco.00022.au,disco
data/raw\blues\blues.00068.au,blues
data/raw\disco\disco.00028.au,disco
data/raw\hiphop\hiphop.00043.au,hiphop
data/raw\classical\classical.00068.au,classical
data/raw\country\country.00073.au,country
data/raw\blues\blues.00073.au,blues
data/raw\country\country.00061.au,country
data/raw\metal\metal.00029.au,metal
data/raw\rock\rock.00037.au,rock
data/raw\rock\rock.00077.au,rock
data/raw\hiphop\hiphop.00017.au,hiphop
data/raw\pop\pop.00056.au,pop
data/raw\country\country.00071.au,country
data/raw\classical\classical.00092.au,classical
data/raw\pop\pop.00012.au,pop
data/raw\metal\metal.00034.au,metal
data/raw\metal\metal.00017.au,metal
data/raw\classical\classical.00074.au,classical
data/raw\rock\rock.00049.au,rock
data/raw\pop\pop.00077.au,pop
data/raw\jazz\jazz.00091.au,jazz
data/raw\hiphop\hiphop.00038.au,hiphop
data/raw\country\country.00032.au,country
data/raw\rock\rock.00007.au,rock
data/raw\blues\blues.00039.au,blues
data/raw\metal\metal.00023.au,metal
data/raw\disco\disco.00096.au,disco
data/raw\country\country.00084.au,country
data/raw\hiphop\hiphop.00055.au,hiphop
data/raw\classical\classical.00075.au,classical
data/raw\classical\classical.00054.au,classical
data/raw\classical\classical.00024.au,classical
data/raw\hiphop\hiphop.00095.au,hiphop
data/raw\pop\pop.00039.au,pop
data/raw\jazz\jazz.00052.au,jazz
data/raw\classical\classical.00083.au,classical
data/raw\reggae\reggae.00085.au,reggae
data/raw\classical\classical.00037.au,classical
data/raw\hiphop\hiphop.00044.au,hiphop
data/raw\reggae\reggae.00045.au,reggae
data/raw\blues\blues.00003.au,blues
data/raw\hiphop\hiphop.00087.au,hiphop
data/raw\reggae\reggae.00044.au,reggae
data/raw\metal\metal.00074.au,metal
data/raw\classical\classical.00099.au,classical
data/raw\blues\blues.00099.au,blues
data/raw\pop\pop.00013.au,pop
data/raw\metal\metal.00021.au,metal
data/raw\jazz\jazz.00051.au,jazz
data/raw\pop\pop.00044.au,pop
data/raw\country\country.00011.au,country
data/raw\jazz\jazz.00014.au,jazz
data/raw\hiphop\hiphop.00078.au,hiphop
data/raw\classical\classical.00021.au,classical
data/raw\rock\rock.00070.au,rock
data/raw\rock\rock.00044.au,rock
data/raw\pop\pop.00096.au,pop
data/raw\disco\disco.00082.au,disco
data/raw\jazz\jazz.00017.au,jazz
data/raw\classical\classical.00041.au,classical
data/raw\rock\rock.00027.au,rock
data/raw\pop\pop.00078.au,pop
data/raw\classical\classical.00069.au,classical
data/raw\reggae\reggae.00096.au,reggae
data/raw\hiphop\hiphop.00030.au,hiphop
data/raw\reggae\reggae.00047.au,reggae
data/raw\country\country.00051.au,country
data/raw\disco\disco.00080.au,disco
data/raw\jazz\jazz.00068.au,jazz
data/raw\jazz\jazz.00059.au,jazz
data/raw\hiphop\hiphop.00019.au,hiphop
data/raw\jazz\jazz.00029.au,jazz
data/raw\blues\blues.00066.au,blues
data/raw\jazz\jazz.00013.au,jazz
data/raw\metal\metal.00083.au,metal
data/raw\metal\metal.00076.au,metal
data/raw\country\country.00028.au,country
data/raw\blues\blues.00070.au,blues
data/raw\reggae\reggae.00030.au,reggae
data/raw\blues\blues.00050.au,blues
data/raw\rock\rock.00034.au,rock
data/raw\jazz\jazz.00079.au,jazz
data/raw\country\country.00059.au,country
data/raw\disco\disco.00019.au,disco
data/raw\disco\disco.00083.au,disco
data/raw\jazz\jazz.00097.au,jazz
data/raw\metal\metal.00082.au,metal
data/raw\reggae\reggae.00095.au,reggae
data/raw\pop\pop.00083.au,pop
data/raw\pop\pop.00097.au,pop
data/raw\disco\disco.00030.au,disco
data/raw\disco\disco.00099.au,disco
data/raw\disco\disco.00064.au,disco
data/raw\jazz\jazz.00054.au,jazz
data/raw\country\country.00077.au,country
data/raw\pop\pop.00003.au,pop
data/raw\hiphop\hiphop.00069.au,hiphop
data/raw\pop\pop.00021.au,pop
data/raw\pop\pop.00006.au,pop
data/raw\reggae\reggae.00083.au,reggae
data/raw\metal\metal.00045.au,metal
data/raw\rock\rock.00029.au,rock
data/raw\hiphop\hiphop.00025.au,hiphop
data/raw\country\country.00004.au,country
data/raw\country\country.00062.au,country
data/raw\hiphop\hiphop.00050.au,hiphop
data/raw\jazz\jazz.00039.au,jazz
data/raw\metal\metal.00031.au,metal
data/raw\metal\metal.00051.au,metal
data/raw\jazz\jazz.00055.au,jazz
data/raw\rock\rock.00024.au,rock
data/raw\metal\metal.00049.au,metal
data/raw\disco\disco.00002.au,disco
data/raw\classical\classical.00048.au,classical
data/raw\pop\pop.00087.au,pop
data/raw\metal\metal.00064.au,metal
data/raw\hiphop\hiphop.00079.au,hiphop
data/raw\country\country.00086.au,country
data/raw\reggae\reggae.00005.au,reggae
data/raw\pop\pop.00008.au,pop
data/raw\jazz\jazz.00019.au,jazz
data/raw\rock\rock.00082.au,rock
data/raw\pop\pop.00072.au,pop
data/raw\classical\classical.00073.au,classical
data/raw\metal\metal.00046.au,metal
data/raw\country\country.00079.au,country
data/raw\blues\blues.00004.au,blues
data/raw\disco\disco.00039.au,disco
data/raw\pop\pop.00066.au,pop
data/raw\rock\rock.00067.au,rock
data/raw\blues\blues.00015.au,blues
data/raw\pop\pop.00060.au,pop
data/raw\rock\rock.00093.au,rock
data/raw\rock\rock.00071.au,rock
data/raw\rock\rock.00053.au,rock
data/raw\reggae\reggae.00001.au,reggae
data/raw\country\country.00097.au,country
data/raw\rock\rock.00057.au,rock
data/raw\pop\pop.00091.au,pop
data/raw\metal\metal.00041.au,metal
data/raw\jazz\jazz.00042.au,jazz
data/raw\pop\pop.00069.au,pop
data/raw\rock\rock.00088.au,rock
data/raw\classical\classical.00017.au,classical
data/raw\pop\pop.00027.au,pop
data/raw\hiphop\hiphop.00013.au,hiphop
data/raw\metal\metal.00020.au,metal
data/raw\pop\pop.00041.au,pop
data/raw\blues\blues.00006.au,blues
data/raw\pop\pop.00040.au,pop
data/raw\jazz\jazz.00044.au,jazz
data/raw\reggae\reggae.00084.au,reggae
data/raw\blues\blues.00095.au,blues
data/raw\classical\classical.00058.au,classical
data/raw\disco\disco.00032.au,disco
data/raw\blues\blues.00030.au,blues
data/raw\classical\classical.00098.au,classical
data/raw\country\country.00033.au,country
data/raw\classical\classical.00086.au,classical
data/raw\pop\pop.00024.au,pop
data/raw\classical\classical.00042.au,classical
data/raw\rock\rock.00056.au,rock
data/raw\rock\rock.00078.au,rock
data/raw\rock\rock.00043.au,rock
data/raw\metal\metal.00013.au,metal
data/raw\rock\rock.00012.au,rock
data/raw\blues\blues.00056.au,blues
data/raw\disco\disco.00051.au,disco
data/raw\classical\classical.00035.au,classical
data/raw\pop\pop.00023.au,pop
data/raw\metal\metal.00005.au,metal
data/raw\jazz\jazz.00037.au,jazz
data/raw\classical\classical.00065.au,classical
data/raw\metal\metal.00042.au,metal
data/raw\metal\metal.00065.au,metal
data/raw\hiphop\hiphop.00027.au,hiphop
data/raw\reggae\reggae.00070.au,reggae
data/raw\jazz\jazz.00049.au,jazz
data/raw\reggae\reggae.00064.au,reggae
data/raw\pop\pop.00019.au,pop
data/raw\metal\metal.00043.au,metal
data/raw\disco\disco.00008.au,disco
data/raw\rock\rock.00040.au,rock
data/raw\hiphop\hiphop.00080.au,hiphop
data/raw\reggae\reggae.00033.au,reggae
data/raw\metal\metal.00081.au,metal
data/raw\country\country.00026.au,country
data/raw\classical\classical.00078.au,classical
data/raw\reggae\reggae.00089.au,reggae
data/raw\metal\metal.00080.au,metal
data/raw\jazz\jazz.00095.au,jazz
data/raw\disco\disco.00044.au,disco
data/raw\disco\disco.00015.au,disco
data/raw\rock\rock.00019.au,rock
data/raw\country\country.00025.au,country
data/raw\pop\pop.00029.au,pop
data/raw\country\country.00094.au,country
data/raw\pop\pop.00057.au,pop
data/raw\reggae\reggae.00027.au,reggae
data/raw\disco\disco.00066.au,disco
data/raw\country\country.00075.au,country
data/raw\pop\pop.00035.au,pop
data/raw\hiphop\hiphop.00040.au,hiphop
data/raw\pop\pop.00011.au,pop
data/raw\reggae\reggae.00011.au,reggae
data/raw\country\country.00092.au,country
data/raw\hiphop\hiphop.00003.au,hiphop
data/raw\country\country.00030.au,country
data/raw\reggae\reggae.00061.au,reggae
data/raw\hiphop\hiphop.00023.au,hiphop
data/raw\rock\rock.00006.au,rock
data/raw\blues\blues.00043.au,blues
data/raw\blues\blues.00019.au,blues
data/raw\classical\classical.00001.au,classical
data/raw\country\country.00034.au,country
data/raw\country\country.00065.au,country
data/raw\jazz\jazz.00015.au,jazz
data/raw\reggae\reggae.00037.au,reggae
data/raw\rock\rock.00068.au,rock
data/raw\disco\disco.00092.au,disco
data/raw\metal\metal.00048.au,metal
data/raw\country\country.00007.au,country
data/raw\disco\disco.00010.au,disco
data/raw\reggae\reggae.00008.au,reggae
data/raw\hiphop\hiphop.00099.au,hiphop
data/raw\pop\pop.00073.au,pop
data/raw\blues\blues.00040.au,blues
data/raw\metal\metal.00011.au,metal
data/raw\jazz\jazz.00060.au,jazz
data/raw\reggae\reggae.00087.au,reggae
data/raw\pop\pop.00001.au,pop
data/raw\classical\classical.00020.au,classical
data/raw\reggae\reggae.00014.au,reggae
data/raw\country\country.00060.au,country
data/raw\pop\pop.00028.au,pop
data/raw\blues\blues.00076.au,blues
data/raw\blues\blues.00028.au,blues
data/raw\blues\blues.00049.au,blues
data/raw\reggae\reggae.00016.au,reggae
data/raw\rock\rock.00064.au,rock
data/raw\hiphop\hiphop.00065.au,hiphop
data/raw\metal\metal.00052.au,metal
data/raw\country\country.00009.au,country
data/raw\hiphop\hiphop.00020.au,hiphop
data/raw\reggae\reggae.00080.au,reggae
data/raw\metal\metal.00040.au,metal
data/raw\metal\metal.00056.au,metal
data/raw\classical\classical.00082.au,classical
data/raw\classical\classical.00063.au,classical
data/raw\reggae\reggae.00013.au,reggae
data/raw\country\country.00012.au,country
data/raw\blues\blues.00045.au,blues
data/raw\disco\disco.00000.au,disco
data/raw\disco\disco.00059.au,disco
data/raw\disco\disco.00079.au,disco
data/raw\country\country.00064.au,country
data/raw\jazz\jazz.00032.au,jazz
data/raw\hiphop\hiphop.00094.au,hiphop
data/raw\disco\disco.00040.au,disco
data/raw\blues\blues.00016.au,blues
data/raw\blues\blues.00010.au,blues
data/raw\blues\blues.00033.au,blues
data/raw\rock\rock.00001.au,rock
data/raw\classical\classical.00045.au,classical
data/raw\jazz\jazz.00005.au,jazz
data/raw\country\country.00070.au,country
data/raw\disco\disco.00072.au,disco
data/raw\classical\classical.00012.au,classical
data/raw\pop\pop.00031.au,pop
data/raw\blues\blues.00036.au,blues
data/raw\pop\pop.00045.au,pop
data/raw\country\country.00040.au,country
data/raw\reggae\reggae.00053.au,reggae
data/raw\classical\classical.00059.au,classical
data/raw\disco\disco.00073.au,disco
data/raw\jazz\jazz.00092.au,jazz
data/raw\reggae\reggae.00092.au,reggae
data/raw\jazz\jazz.00031.au,jazz
data/raw\metal\metal.00006.au,metal
data/raw\blues\blues.00017.au,blues
data/raw\disco\disco.00042.au,disco
data/raw\jazz\jazz.00004.au,jazz
data/raw\pop\pop.00071.au,pop
data/raw\disco\disco.00067.au,disco
data/raw\rock\rock.00011.au,rock
data/raw\hiphop\hiphop.00097.au,hiphop
data/raw\rock\rock.00042.au,rock
data/raw\blues\blues.00031.au,blues
data/raw\reggae\reggae.00093.au,reggae
data/raw\classical\classical.00005.au,classical
data/raw\metal\metal.00079.au,metal
data/raw\country\country.00049.au,country
data/raw\reggae\reggae.00052.au,reggae
data/raw\disco\disco.00091.au,disco
data/raw\rock\rock.00017.au,rock
data/raw\jazz\jazz.00069.au,jazz
data/raw\country\country.00056.au,country
data/raw\hiphop\hiphop.00090.au,hiphop
data/raw\jazz\jazz.00046.au,jazz
data/raw\blues\blues.00053.au,blues
data/raw\classical\classical.00093.au,classical
data/raw\country\country.00078.au,country
data/raw\pop\pop.00007.au,pop
data/raw\blues\blues.00005.au,blues
data/raw\jazz\jazz.00040.au,jazz
data/raw\jazz\jazz.00070.au,jazz
data/raw\classical\classical.00010.au,classical
data/raw\country\country.00042.au,country
data/raw\classical\classical.00055.au,classical
data/raw\country\country.00044.au,country
data/raw\reggae\reggae.00028.au,reggae
data/raw\disco\disco.00049.au,disco
data/raw\hiphop\hiphop.00076.au,hiphop
data/raw\blues\blues.00022.au,blues
data/raw\metal\metal.00014.au,metal
data/raw\metal\metal.00067.au,metal
data/raw\hiphop\hiphop.00070.au,hiphop
data/raw\disco\disco.00056.au,disco
data/raw\jazz\jazz.00027.au,jazz
data/raw\reggae\reggae.00010.au,reggae
data/raw\reggae\reggae.00067.au,reggae
data/raw\rock\rock.00072.au,rock
data/raw\rock\rock.00041.au,rock
data/raw\metal\metal.00027.au,metal
data/raw\jazz\jazz.00008.au,jazz
data/raw\pop\pop.00080.au,pop
data/raw\reggae\reggae.00046.au,reggae
data/raw\classical\classical.00067.au,classical
data/raw\hiphop\hiphop.00074.au,hiphop
data/raw\rock\rock.00086.au,rock
data/raw\classical\classical.00030.au,classical
data/raw\classical\classical.00009.au,classical
data/raw\rock\rock.00009.au,rock
data/raw\pop\pop.00074.au,pop
data/raw\reggae\reggae.00058.au,reggae
data/raw\rock\rock.00050.au,rock
data/raw\disco\disco.00035.au,disco
data/raw\blues\blues.00038.au,blues
data/raw\hiphop\hiphop.00064.au,hiphop
data/raw\metal\metal.00004.au,metal
data/raw\reggae\reggae.00057.au,reggae
data/raw\blues\blues.00080.au,blues
data/raw\hiphop\hiphop.00060.au,hiphop
data/raw\rock\rock.00060.au,rock
data/raw\country\country.00081.au,country
data/raw\pop\pop.00050.au,pop
data/raw\pop\pop.00014.au,pop
data/raw\classical\classical.00039.au,classical
data/raw\jazz\jazz.00083.au,jazz
data/raw\country\country.00050.au,country
data/raw\metal\metal.00009.au,metal
data/raw\blues\blues.00008.au,blues
data/raw\disco\disco.00070.au,disco
data/raw\disco\disco.00054.au,disco
data/raw\classical\classical.00019.au,classical
data/raw\classical\classical.00029.au,classical
data/raw\pop\pop.00051.au,pop
data/raw\country\country.00022.au,country
data/raw\country\country.00088.au,country
data/raw\reggae\reggae.00076.au,reggae
data/raw\blues\blues.00077.au,blues
data/raw\blues\blues.00012.au,blues
data/raw\metal\metal.00072.au,metal
data/raw\country\country.00083.au,country
data/raw\hiphop\hiphop.00068.au,hiphop
data/raw\metal\metal.00059.au,metal
data/raw\metal\metal.00047.au,metal
data/raw\hiphop\hiphop.00041.au,hiphop
data/raw\reggae\reggae.00019.au,reggae
data/raw\blues\blues.00047.au,blues
data/raw\hiphop\hiphop.00066.au,hiphop
data/raw\metal\metal.00050.au,metal
data/raw\disco\disco.00093.au,disco
data/raw\reggae\reggae.00088.au,reggae
data/raw\hiphop\hiphop.00071.au,hiphop
data/raw\jazz\jazz.00038.au,jazz
data/raw\reggae\reggae.00073.au,reggae
data/raw\metal\metal.00010.au,metal
data/raw\hiphop\hiphop.00036.au,hiphop
data/raw\country\country.00021.au,country
data/raw\jazz\jazz.00090.au,jazz
data/raw\classical\classical.00066.au,classical
data/raw\blues\blues.00062.au,blues
data/raw\metal\metal.00086.au,metal
data/raw\country\country.00046.au,country
data/raw\blues\blues.00054.au,blues
data/raw\hiphop\hiphop.00077.au,hiphop
data/raw\country\country.00047.au,country
data/raw\country\country.00053.au,country
data/raw\pop\pop.00034.au,pop
data/raw\country\country.00008.au,country
data/raw\blues\blues.00069.au,blues
data/raw\reggae\reggae.00040.au,reggae
data/raw\rock\rock.00022.au,rock
data/raw\pop\pop.00093.au,pop
data/raw\hiphop\hiphop.00083.au,hiphop
data/raw\jazz\jazz.00012.au,jazz
data/raw\metal\metal.00036.au,metal
data/raw\reggae\reggae.00099.au,reggae
data/raw\jazz\jazz.00043.au,jazz
data/raw\classical\classical.00015.au,classical
data/raw\pop\pop.00047.au,pop
data/raw\disco\disco.00057.au,disco
data/raw\rock\rock.00000.au,rock
data/raw\classical\classical.00085.au,classical
data/raw\hiphop\hiphop.00082.au,hiphop
data/raw\metal\metal.00033.au,metal
data/raw\country\country.00017.au,country
data/raw\classical\classical.00051.au,classical
data/raw\hiphop\hiphop.00037.au,hiphop
data/raw\metal\metal.00001.au,metal
data/raw\jazz\jazz.00064.au,jazz
data/raw\reggae\reggae.00082.au,reggae
data/raw\blues\blues.00083.au,blues
data/raw\country\country.00036.au,country
data/raw\rock\rock.00079.au,rock
data/raw\reggae\reggae.00056.au,reggae
data/raw\jazz\jazz.00084.au,jazz
data/raw\jazz\jazz.00018.au,jazz
data/raw\hiphop\hiphop.00002.au,hiphop
data/raw\rock\rock.00018.au,rock
data/raw\metal\metal.00058.au,metal
data/raw\blues\blues.00009.au,blues
data/raw\blues\blues.00024.au,blues
data/raw\jazz\jazz.00065.au,jazz
data/raw\reggae\reggae.00051.au,reggae
data/raw\classical\classical.00090.au,classical
data/raw\classical\classical.00031.au,classical
data/raw\classical\classical.00044.au,classical
data/raw\rock\rock.00031.au,rock
data/raw\jazz\jazz.00062.au,jazz
data/raw\metal\metal.00097.au,metal
data/raw\country\country.00066.au,country
data/raw\rock\rock.00075.au,rock
data/raw\country\country.00048.au,country
data/raw\disco\disco.00094.au,disco
data/raw\jazz\jazz.00030.au,jazz
data/raw\jazz\jazz.00096.au,jazz
data/raw\hiphop\hiphop.00001.au,hiphop
data/raw\hiphop\hiphop.00021.au,hiphop
data/raw\rock\rock.00046.au,rock
data/raw\classical\classical.00038.au,classical
data/raw\rock\rock.00026.au,rock
data/raw\rock\rock.00047.au,rock
data/raw\blues\blues.00018.au,blues
data/raw\blues\blues.00061.au,blues
data/raw\hiphop\hiphop.00006.au,hiphop
data/raw\hiphop\hiphop.00089.au,hiphop
data/raw\reggae\reggae.00048.au,reggae
data/raw\classical\classical.00088.au,classical
data/raw\rock\rock.00038.au,rock
data/raw\classical\classical.00028.au,classical
data/raw\hiphop\hiphop.00035.au,hiphop
data/raw\blues\blues.00081.au,blues
data/raw\rock\rock.00028.au,rock
data/raw\disco\disco.00046.au,disco
data/raw\rock\rock.00016.au,rock
data/raw\rock\rock.00066.au,rock
data/raw\disco\disco.00084.au,disco
data/raw\disco\disco.00014.au,disco
data/raw\country\country.00013.au,country
data/raw\classical\classical.00052.au,classical
data/raw\rock\rock.00015.au,rock
data/raw\pop\pop.00079.au,pop
data/raw\pop\pop.00086.au,pop
data/raw\reggae\reggae.00043.au,reggae
data/raw\country\country.00024.au,country
data/raw\disco\disco.00025.au,disco
data/raw\rock\rock.00090.au,rock
data/raw\jazz\jazz.00047.au,jazz
data/raw\classical\classical.00018.au,classical
data/raw\metal\metal.00026.au,metal
data/raw\pop\pop.00038.au,pop
data/raw\country\country.00045.au,country
data/raw\jazz\jazz.00099.au,jazz
data/raw\disco\disco.00077.au,disco
data/raw\metal\metal.00096.au,metal
data/raw\hiphop\hiphop.00024.au,hiphop
data/raw\reggae\reggae.00025.au,reggae
data/raw\blues\blues.00090.au,blues
data/raw\pop\pop.00015.au,pop
data/raw\metal\metal.00054.au,metal
data/raw\pop\pop.00033.au,pop
data/raw\country\country.00087.au,country
data/raw\jazz\jazz.00050.au,jazz
data/raw\reggae\reggae.00068.au,reggae
data/raw\rock\rock.00094.au,rock
data/raw\country\country.00027.au,country
data/raw\blues\blues.00035.au,blues
data/raw\classical\classical.00076.au,classical
data/raw\rock\rock.00091.au,rock
data/raw\pop\pop.00090.au,pop
data/raw\disco\disco.00074.au,disco
data/raw\country\country.00014.au,country
data/raw\rock\rock.00045.au,rock
data/raw\country\country.00085.au,country
data/raw\reggae\reggae.00059.au,reggae
data/raw\blues\blues.00026.au,blues
data/raw\metal\metal.00068.au,metal
data/raw\rock\rock.00089.au,rock
data/raw\pop\pop.00042.au,pop
data/raw\reggae\reggae.00029.au,reggae
data/raw\hiphop\hiphop.00034.au,hiphop
data/raw\hiphop\hiphop.00042.au,hiphop
data/raw\jazz\jazz.00056.au,jazz
data/raw\classical\classical.00016.au,classical
data/raw\blues\blues.00034.au,blues
data/raw\reggae\reggae.00065.au,reggae
data/raw\classical\classical.00070.au,classical
data/raw\reggae\reggae.00063.au,reggae
data/raw\jazz\jazz.00024.au,jazz
data/raw\classical\classical.00025.au,classical
data/raw\jazz\jazz.00010.au,jazz
data/raw\blues\blues.00044.au,blues
data/raw\country\country.00057.au,country
data/raw\hiphop\hiphop.00010.au,hiphop
data/raw\disco\disco.00041.au,disco
data/raw\disco\disco.00081.au,disco
